"model","oe_r_squ","oe_slope","pred_95","nrowpredx"
"depth_m_var",0.990218003274896,0.979165780365208,0.981132075471698,53
"depth_m_mean",0.997753252556404,0.990704862694182,1,53
"vel_m_s_var",0.860424012563253,0.832958194088775,0.867924528301887,53
"vel_m_s_mean",0.881371990135135,0.827639180743184,0.924528301886792,53
"min_phi",0.984205567832377,0.923770515164658,1,51
"max_phi",0.971312448627087,0.877874584834178,1,51
"med_phi",0.979676535992584,0.914467041937061,1,51
