"sitecode","ei_label","mgae","mgan"
"SCO_1555g","32%",337029.370072768,5805758.85864288
"BRS_1572d","17%",352890.333244037,5816502.39333171
"BLI_2492g","32%",346377.968043409,5807548.67699235
"FER_2210e","16%",352882.675505388,5804586.37178195
"HVD_7836d","20%",352185.033361826,5790865.50115028
"MNB_3032g","4%",356653.374258914,5803929.98572013
"OLN_5632h","4%",357613.252198109,5811835.20805291
"EUM_5211f","8%",353558.001382554,5797615.50845016
"DNG_7141a","19%",350243.983517371,5811655.526153
